layout,order,N,gflops,l1_miss,seconds
cm,ijk, 10, 0.45475216007276037,22.0,4.398e-06
cm,ijk, 100, 2.7895123519147766,17642.0,0.000522672
cm,ijk, 1000, 1.6008214570483845,2001631166.0,1.249358566
cm,ijk, 20, 0.45475216007276037,22.0,4.398e-06
cm,ijk, 200, 2.4375915620330493,523662.0,0.006563856
cm,ijk, 2000, 2.2099088345631697,8616831994.0,7.240117669
cm,ijk, 30, 2.8875654214040787,51.0,5.541e-06
cm,ijk, 300, 2.279206896778772,1872307.0,0.023692452
cm,ijk, 3000, 2.107672922550145,28722800654.0,25.620673598
cm,ijk, 40, 2.8875654214040787,51.0,5.541e-06
cm,ijk, 400, 2.279206896778772,1872307.0,0.023692452
cm,ijk, 50, 4.329150742381709,312.0,2.9567e-05
cm,ijk, 500, 5.228223018594447,8190773.0,0.047817394
cm,ijk, 60, 4.329150742381709,312.0,2.9567e-05
cm,ijk, 600, 5.341404789459628,14040561.0,0.0808776
cm,ijk, 70, 5.014800626850079,1332.0,8.6145e-05
cm,ijk, 700, 1.6544827917003657,686519175.0,0.414631088
cm,ijk, 80, 5.014800626850079,1332.0,8.6145e-05
cm,ijk, 800, 2.2556731600785733,550354673.0,0.453966478
cm,ijk, 90, 2.7895123519147766,17642.0,0.000522672
cm,ijk, 900, 1.6484502791730256,1458893075.0,0.884467077
cm,ikj, 10, 0.45475216007276037,22.0,4.398e-06
cm,ikj, 100, 2.7895123519147766,17642.0,0.000522672
cm,ikj, 1000, 3.1912776866296566,1005153365.0,0.626708233
cm,ikj, 20, 0.45475216007276037,22.0,4.398e-06
cm,ikj, 200, 2.4375915620330493,523662.0,0.006563856
cm,ikj, 2000, 2.2099088345631697,8616831994.0,7.240117669
cm,ikj, 30, 2.8875654214040787,51.0,5.541e-06
cm,ikj, 300, 2.279206896778772,1872307.0,0.023692452
cm,ikj, 3000, 2.107672922550145,28722800654.0,25.620673598
cm,ikj, 40, 2.8875654214040787,51.0,5.541e-06
cm,ikj, 400, 3.2213271993894583,64611916.0,0.039735175
cm,ikj, 50, 4.329150742381709,312.0,2.9567e-05
cm,ikj, 500, 5.228223018594447,8190773.0,0.047817394
cm,ikj, 60, 4.329150742381709,312.0,2.9567e-05
cm,ikj, 600, 5.341404789459628,14040561.0,0.0808776
cm,ikj, 70, 5.014800626850079,1332.0,8.6145e-05
cm,ikj, 700, 3.26153882872673,345116591.0,0.210330165
cm,ikj, 80, 5.014800626850079,1332.0,8.6145e-05
cm,ikj, 800, 2.2556731600785733,550354673.0,0.453966478
cm,ikj, 90, 2.7895123519147766,17642.0,0.000522672
cm,ikj, 900, 1.6484502791730256,1458893075.0,0.884467077
cm,jik, 10, 0.45475216007276037,22.0,4.398e-06
cm,jik, 100, 2.7895123519147766,17642.0,0.000522672
cm,jik, 1000, 3.1912776866296566,1005153365.0,0.626708233
cm,jik, 20, 0.45475216007276037,22.0,4.398e-06
cm,jik, 200, 2.4375915620330493,523662.0,0.006563856
cm,jik, 2000, 1.9518226677682957,8622662026.0,8.197466022
cm,jik, 30, 2.8875654214040787,51.0,5.541e-06
cm,jik, 300, 2.279206896778772,1872307.0,0.023692452
cm,jik, 3000, 1.5961865191471414,28760963545.0,33.830632794
cm,jik, 40, 2.8875654214040787,51.0,5.541e-06
cm,jik, 400, 3.2213271993894583,64611916.0,0.039735175
cm,jik, 50, 4.329150742381709,312.0,2.9567e-05
cm,jik, 500, 5.228223018594447,8190773.0,0.047817394
cm,jik, 60, 4.329150742381709,312.0,2.9567e-05
cm,jik, 600, 2.2589793015374044,223306826.0,0.191236812
cm,jik, 70, 5.014800626850079,1332.0,8.6145e-05
cm,jik, 700, 3.26153882872673,345116591.0,0.210330165
cm,jik, 80, 5.014800626850079,1332.0,8.6145e-05
cm,jik, 800, 2.2556731600785733,550354673.0,0.453966478
cm,jik, 90, 2.7895123519147766,17642.0,0.000522672
cm,jik, 900, 2.263427008789258,785873574.0,0.644155961
cm,jki, 10, 0.45475216007276037,22.0,4.398e-06
cm,jki, 100, 2.7895123519147766,17642.0,0.000522672
cm,jki, 1000, 6.590662096859744,63711322.0,0.303459648
cm,jki, 20, 0.45475216007276037,22.0,4.398e-06
cm,jki, 200, 2.4375915620330493,523662.0,0.006563856
cm,jki, 2000, 1.9518226677682957,8622662026.0,8.197466022
cm,jki, 30, 2.8875654214040787,51.0,5.541e-06
cm,jki, 300, 2.279206896778772,1872307.0,0.023692452
cm,jki, 3000, 1.5961865191471414,28760963545.0,33.830632794
cm,jki, 40, 2.8875654214040787,51.0,5.541e-06
cm,jki, 400, 3.2213271993894583,64611916.0,0.039735175
cm,jki, 4000, 5.683622946803861,6106284055.0,22.520846509
cm,jki, 50, 4.329150742381709,312.0,2.9567e-05
cm,jki, 500, 5.228223018594447,8190773.0,0.047817394
cm,jki, 5000, 6.118805717095,11887068925.0,40.857646338
cm,jki, 60, 4.329150742381709,312.0,2.9567e-05
cm,jki, 600, 2.2589793015374044,223306826.0,0.191236812
cm,jki, 70, 5.014800626850079,1332.0,8.6145e-05
cm,jki, 700, 3.26153882872673,345116591.0,0.210330165
cm,jki, 80, 5.014800626850079,1332.0,8.6145e-05
cm,jki, 800, 6.5224203262312095,32628946.0,0.156996935
cm,jki, 90, 2.7895123519147766,17642.0,0.000522672
cm,jki, 900, 2.263427008789258,785873574.0,0.644155961
cm,kij, 10, 0.45475216007276037,22.0,4.398e-06
cm,kij, 100, 2.7895123519147766,17642.0,0.000522672
cm,kij, 1000, 6.590662096859744,63711322.0,0.303459648
cm,kij, 20, 2.8875654214040787,51.0,5.541e-06
cm,kij, 200, 2.4375915620330493,523662.0,0.006563856
cm,kij, 2000, 1.0148874123764413,16026547413.0,15.765295544
