kernel,T,n_eval,gflops,l1_miss,seconds
garch_mle,100,95,0.941566256530789,81,7.0627e-05
garch_mle,100,820,0.946715112970822,91,0.000606307
garch_mle,100,6660,0.951877507943032,155,0.004897689
garch_mle,500,95,0.923295651763425,274,0.000360123
garch_mle,500,820,0.957525247638716,276,0.00299731
garch_mle,500,6660,0.950380631316122,652,0.024527015
garch_mle,1000,95,0.887682175074952,376,0.000749142
garch_mle,1000,820,0.964773497571174,360,0.005949583
garch_mle,1000,6660,0.953615679258179,2396,0.0488876189999999
garch_mle,5000,95,0.959854136812557,54101,0.003464068
garch_mle,5000,820,0.959107499341742,457320,0.029923653
garch_mle,5000,6660,0.942408369343157,3761022,0.247345002
garch_mle,10000,95,0.96004287132798,113581,0.006926774
garch_mle,10000,820,0.961436722799217,979193,0.059702317
garch_mle,10000,6660,0.931006514137951,12534884,0.500748376
garch_mle,50000,95,0.826668458734712,593151,0.040221687
garch_mle,50000,820,0.94291852793281,5107557,0.304374123
garch_mle,50000,6660,0.939213895375851,41445311,2.48186277
garch_mle,100000,95,0.953280961558594,1191861,0.069759077
garch_mle,100000,820,0.959060364651158,10278973,0.598502473
garch_mle,100000,6660,0.914768151605804,83317176,5.096373318
